CATEGORY;UNIT UPC;CASE UPC;DESCRIPTION;UNITS PER CASE;X;X;SELL PRICE PER UNIT;SELL PRICE PER CASE;No. OF CASES IN STOCK;NO. OF CASES ORDERED;SUBTOTAL;
BABY NEEDS & DIAPERS;36000412451;3600041245;HUGGIES P/U GRL LG 3-4T 22CT   ;4;1;4;$10,03;$40,12;194;;$0,00;
BABY NEEDS & DIAPERS;36000412468;3600041246;HUGGIES P/U JMB BOY 4-5T 18CT  ;4;1;4;$9,91;$39,64;120;;$0,00;
BABY NEEDS & DIAPERS;36000412444;3600041244;HUGGIES P/U JMBO BOY 3T-4T 22CT;4;1;4;$9,98;$39,92;139;;$0,00;
BABY NEEDS & DIAPERS;36000412437;3600041243;HUGGIES P/U JMBO GIRL 2T-3T 25C;4;1;4;$10,03;$40,12;244;;$0,00;
BABY NEEDS & DIAPERS;36000406535;3600040653;HUGGIES SNUG & DRY #1 JUMB 44CT;4;1;4;$9,66;$38,64;494;;$0,00;
BABY NEEDS & DIAPERS;36000406672;3600040667;HUGGIES SNUG & DRY #2 JUMB 38CT;4;1;4;$9,66;$38,64;494;;$0,00;
BABY NEEDS & DIAPERS;36000406740;3600040674;HUGGIES SNUG & DRY #6 JUMBO 21C;4;1;4;$10,03;$40,12;520;;$0,00;
BABY NEEDS & DIAPERS;36000406689;3600040668;HUGGIES SNUG&DRY #3 JMBO 32C QQ;4;1;4;$8,10;$32,40;520;;$0,00;
BABY NEEDS & DIAPERS;36000430875;3600043087;HUGGIES SNUG&DRY #3 JMBO 34 CT ;4;1;4;$9,73;$38,92;709;;$0,00;
BABY NEEDS & DIAPERS;36000406696;3600040669;HUGGIES SNUG&DRY #4 JMBO 28CT Q;4;1;4;$8,10;$32,40;520;;$0,00;
BABY NEEDS & DIAPERS;36000430899;3600043089;HUGGIES SNUG&DRY #4 JUMBO 29 CT;4;1;4;$9,67;$38,68;994;;$0,00;
BABY NEEDS & DIAPERS;36000406702;3600040670;HUGGIES SNUG&DRY #5 JMBO 24CT Q;4;1;4;$8,03;$32,12;525;;$0,00;
BABY NEEDS & DIAPERS;36000430905;3600043090;HUGGIES SNUG&DRY #5 JUMBO 25 CT;4;1;4;$9,73;$38,92;1764;;$0,00;
BABY NEEDS & DIAPERS;381370056164;38137005616;J&J 5616 ADH HELLO KITTY 20'S  ;24;4;6;$2,26;$54,24;404;;$0,00;
BABY NEEDS & DIAPERS;381371157297;38137115729;J&J 5729 ADH BARBIE ASST 20CT  ;24;4;6;$2,53;$60,72;298;;$0,00;
BABY NEEDS & DIAPERS;381371058341;38137105834;J&J 5834 DSNY MICKEY ASST 20CT ;24;4;6;$2,29;$54,96;404;;$0,00;
BABY NEEDS & DIAPERS;381371159390;38137115939;J&J 5939 DSNY JR DOC MCSTUF 20C;24;4;6;$2,26;$54,24;178;;$0,00;
BABY NEEDS & DIAPERS;381371020737;38137102073;J&J BABY OIL 8 OZ SHEA/COCOA   ;24;4;6;$4,09;$98,16;78;;$0,00;
